Video title: Bestaat mijn baan straks nog？ ｜ ✨ Poki
Youtube video code: iVMNK7jyIdI
Last modified time: 2024-02-13 08:02:38

------------------ 

[0.00 --> 0.96]  Waar spaar jij voor?
[1.80 --> 5.64]  Wat je spaardelok is, met een hoge rente maak je je dromen sneller waar.
[6.42 --> 12.16]  Daarom krijg je nu tijdelijk bij Leaseplanbank een hogere rente op 1 en 2 jaar deposito's.
[12.46 --> 14.08]  Tot wel 3,3 procent.
[14.80 --> 17.88]  Wacht niet langer en profiteer van de hoge rente van dit moment.
[18.26 --> 20.24]  280.000 anderen ging je al voor.
[21.94 --> 24.24]  Leaseplanbank. Alle aandacht voor sparen.
[25.10 --> 27.80]  Open nu een rekening op leaseplanbank.nl
[27.80 --> 31.24]  Als nu echt die vitale processen geraakt worden.
[31.46 --> 34.26]  We hebben echt te weinig cybercapaciteit bijvoorbeeld.
[34.64 --> 37.38]  Welke processen willen we dan kost wat kost in de lucht houden?
[37.82 --> 40.92]  En waar zetten we onze schaarse capaciteit op dat moment op in?
[41.28 --> 43.94]  In de nieuwe editie van Enter duiken we in Easydoor.
[44.24 --> 46.22]  De grootste cyberoefening van Nederland.
[46.90 --> 49.98]  Ontdek het belang van voorbereiden, oefenen en samenwerken.
[57.80 --> 73.40]  Welkom bij Poki, een podcast over kunstmatige intelligentie.
[73.66 --> 78.22]  Waarin wij, Wietse Hagen en ik, Alexander Klukwing, je bijpraten over de wondere wereld van AI.
[78.60 --> 80.84]  Het is history in the making op dit moment.
[80.84 --> 83.42]  Dat is de conclusie die Wietse aan het eind van deze aflevering trekt.
[83.80 --> 86.52]  Nadat hij een vriend te woord heeft moeten staan aan de telefoon.
[86.78 --> 87.92]  Die softwareprogrammeur is.
[88.20 --> 90.72]  En bij wie opeens de knop is omgegaan en constateert.
[91.12 --> 92.94]  Kan ik deze baan nog wel langer doen?
[93.16 --> 94.58]  Want ik heb met JetGPT gesproken.
[94.98 --> 97.78]  En dit ding kan dingen waarvan ik niet van tevoren dacht dat ik het kon.
[98.06 --> 99.38]  Heb ik straks nog wel werk.
[99.72 --> 101.46]  En er is reden genoeg om jezelf dit soort vragen te stellen.
[101.52 --> 102.62]  Want er is veel ontwikkeling.
[102.78 --> 103.50]  Ook deze week weer.
[103.68 --> 106.06]  Google introduceerde Google Gemini Ultra.
[106.06 --> 107.60]  Googles grootste taalmodel.
[107.74 --> 109.22]  Een concurrent voor GPT-4.
[109.50 --> 111.56]  En scoort in de benchmarks ongeveer even goed.
[111.72 --> 113.00]  Google is dus on par.
[113.18 --> 114.22]  We gaan het daar dadelijk over hebben.
[114.80 --> 116.70]  Verder lazen we een paper in Science.
[116.94 --> 120.50]  Waarbij een AI is getraind door de ogen van een mensenbaby.
[120.74 --> 124.12]  Om te kijken of een AI hetzelfde kan leren als een baby.
[124.48 --> 125.66]  En als het dan nog niet gek genoeg was.
[125.74 --> 127.46]  Gaan we het ook hebben over een zelfrijende auto.
[127.46 --> 129.06]  Die in San Francisco in de fik is gegaan.
[129.44 --> 132.06]  Omdat het een robot, een AI, op wielen is.
[132.58 --> 134.50]  En de mensen daar niet altijd even blij mee zijn.
[134.98 --> 135.22]  Goed.
[135.62 --> 135.94]  Veel plezier.
[136.06 --> 141.38]  Wat me opvalt is dat die...
[141.38 --> 142.78]  Kan ik zo zo beginnen?
[143.28 --> 143.40]  Ja.
[144.36 --> 145.14]  Wat me opvalt.
[145.34 --> 146.80]  Dat lijkt me een stekende openingswoorden.
[146.92 --> 148.04]  Wat mij opviel in het nieuws.
[148.86 --> 152.10]  Nee, is dat Gemini is nu...
[152.10 --> 152.54]  Of Bart.
[152.64 --> 154.24]  B-A-R-D.
[154.40 --> 154.88]  Van Google.
[155.04 --> 155.82]  Laat het vergeten.
[155.82 --> 157.82]  Ik heb het nooit gevoeld als...
[157.82 --> 159.16]  Bart is dood hè.
[159.28 --> 160.08]  Bart is dood.
[160.26 --> 161.00]  Sinds deze week.
[161.58 --> 162.82]  En nu hebben we...
[162.82 --> 165.62]  Wat we kenden als Gemini al als taalmodel.
[165.62 --> 167.78]  Is ook de brand geworden van het hele product.
[167.90 --> 171.46]  Dus wat ChatGPT heet bij OpenAI heet nu Gemini bij Google.
[171.46 --> 174.06]  En wat me opviel is dat...
[174.06 --> 175.78]  Die interface van Gemini...
[175.78 --> 177.78]  Die is heel erg een soort van...
[178.78 --> 180.64]  Google-ified ChatGPT interface.
[180.98 --> 181.42]  Dus...
[181.42 --> 181.90]  Oké.
[182.16 --> 183.78]  Ik ben gewoon gefascineerd dat...
[184.92 --> 185.92]  We hebben...
[185.92 --> 187.56]  Ooit hadden we GPT van OpenAI.
[187.92 --> 188.52]  Text completion.
[188.52 --> 190.00]  Zaten we mee te spelen in labs.
[190.12 --> 190.84]  En toen dachten we al...
[190.84 --> 191.80]  Wow, dit is best wel cool.
