Video title: Bonus： EU AI-act uitgelegd door Google NotebookLM
Youtube video code: Yiqzt8hYngo
Last modified time: 2024-10-05 08:16:05

------------------ 

[0.00 --> 4.00]  Ooggetuigen.
[30.00 --> 31.00]  Graf.
[60.00 --> 61.30]  Okay, so get this.
[61.42 --> 63.00]  Today's deep dive is...
[63.86 --> 64.38]  It's a big one.
[64.48 --> 64.70]  Yeah.
[65.12 --> 69.26]  We're diving headfirst into the EU's Artificial Intelligence Act.
[69.42 --> 69.70]  Okay.
[69.86 --> 70.80]  You know, that whole thing.
[70.92 --> 71.08]  Right.
[71.22 --> 75.00]  And let me tell you, these excerpts you guys sent over from their legislative text...
[75.88 --> 76.38]  Dense.
[76.84 --> 81.92]  This thing reads like, honestly, someone mashed up a sci-fi novel with a law textbook.
[82.20 --> 84.06]  Well, it's groundbreaking stuff, right?
[84.18 --> 84.58]  It is.
[84.58 --> 89.70]  The EU's really, I think, trying to get out ahead of the curve on this whole regulating AI thing.
[89.70 --> 90.14]  Yeah.
[90.36 --> 92.72]  Which, as we know, is moving faster than...
[92.72 --> 93.68]  Oh, tell me about it.
[93.74 --> 94.60]  ...a caffeinated robot.
[94.84 --> 95.24]  It's true.
[95.34 --> 99.66]  This AI stuff is just like work speed, but also it's everywhere.
[100.16 --> 100.44]  Right.
[100.62 --> 101.02]  Absolutely.
[101.24 --> 107.06]  I mean, we're way past just talking about self-driving cars and, you know, like robots in factories.
[107.38 --> 107.56]  Right.
[107.74 --> 113.36]  So with this massive document, where do we even begin to unpack it all?
[113.44 --> 115.78]  Well, I think a good place to start is with the scope.
[115.78 --> 116.10]  Right.
[116.10 --> 119.68]  Like, what does the EU even consider an AI system?
[119.76 --> 122.32]  Because it's not as simple as you might think.
[122.48 --> 122.64]  Yeah.
[122.72 --> 125.36]  It can't just be like, if it runs on code, it's AI, can it?
[125.46 --> 126.14]  Definitely not.
[126.38 --> 132.92]  The Act actually defines an AI system as one that's designed to operate with a degree of autonomy.
[133.18 --> 133.48]  Okay.
[133.68 --> 140.86]  Meaning it can make decisions or take actions to achieve objectives without a human having to, like, hold its hand the whole way.
[140.94 --> 141.16]  Okay.
[141.16 --> 142.80]  So some level of thinking for itself.
[142.90 --> 143.22]  Exactly.
[143.44 --> 143.86]  Got it.
[144.08 --> 147.24]  But where it starts to get really interesting to me is when they get into the examples.
[147.44 --> 147.68]  Okay.
[147.86 --> 149.72]  Like, self-driving cars, sure, we get it.
[149.82 --> 152.00]  But then they mention AI for job recruitment.
[152.18 --> 152.30]  Yeah.
[152.32 --> 155.66]  And I was like, hold on, my resume is being analyzed by an algorithm now.
[155.86 --> 157.10]  Well, that's exactly it, right?
[157.14 --> 157.34]  Yeah.
[157.66 --> 160.54]  It highlights how broadly they're thinking about this.
