Video title: Deze adembenemende nieuwe dingen kan ChatGPT nu ｜ ✨ Poki
Youtube video code: 1uKHG0p8f_s
Last modified time: 2024-05-14 18:27:38

------------------ 

[0.00 --> 7.00]  MUZIEK
[30.00 --> 54.64]  Welkom bij Poki, een podcast over kunstmatige intelligentie.
[54.64 --> 61.96]  Waarin wij, Wietse Hagen en ik, Alexander Klubbing en normaal ook Milou, maar die is vrij, je bijpraten over de wereld van kunstmatige intelligentie.
[62.10 --> 67.86]  En het is me nogal een week voor de wereld van AI, want deze week kwam GPT-4O uit.
[68.38 --> 70.04]  Het nieuwste taalmodel van OpenAI.
[70.78 --> 74.50]  En zoals we inmiddels gewend zijn, sneller, beter en goedkoper.
[74.88 --> 77.16]  In dit geval wel heel erg veel.
[77.50 --> 83.78]  Want het ding kan toegang krijgen tot je camera van je iPhone en kan daardoor de wereld om het heen zien.
[83.78 --> 89.06]  Je kan ermee praten met je stem en geeft dan vervolgens supersnel antwoord.
[89.18 --> 92.52]  Waardoor het echt gaat voelen alsof het een soort menselijke kwaliteiten heeft.
[92.90 --> 98.60]  En dat wordt alleen nog maar verder versterkt doordat het ding ook daadwerkelijk emotionele intelligentie lijkt te hebben.
[99.06 --> 100.66]  Het kan sarkastisch doen als jij dat wil.
[101.10 --> 102.62]  Het kan verdrietig doen als jij dat wil.
[102.92 --> 104.80]  Het kan vrolijk met je praten als jij dat wil.
[105.00 --> 106.60]  Het is uncanny.
[106.76 --> 107.52]  We gaan het erover hebben.
[107.52 --> 112.14]  Wat heeft dit voor effecten en gevolgen in alle verschillende werelden.
[112.30 --> 114.54]  Van het onderwijs tot je werk tot je leven.
[114.96 --> 116.66]  We trekken hem helemaal uit elkaar.
[116.88 --> 120.34]  Veel plezier met onze diepgaande analyse over de GPT-4O.
[120.92 --> 123.70]  Als je nou nog niet de video's gezien hebt.
[124.06 --> 125.74]  Die staan op de YouTube van OpenAI.
[126.44 --> 128.70]  Het is wel aan mevoren om die misschien eerst eventjes te kijken.
[128.80 --> 131.30]  Het is niet dat je de aflevering niet kan luisteren zonder die video's gekeken te hebben.
[131.30 --> 139.70]  Maar als je een beetje wat mee wil krijgen in je eigen lijf van de fascinatie en verwondering die wij in deze aflevering met je delen.
[140.16 --> 142.30]  Dan wordt het misschien nog spannender om naar te luisteren.
