Video title: Economen denken dat je niet werkloos wordt door AI ｜ ✨ Poki
Youtube video code: CWw8nZ8rI9s
Last modified time: 2024-04-09 12:28:32

------------------ 

[0.00 --> 10.00]  MUZIEK
[30.00 --> 31.74]  Zijn gezichtsherkenning technologie?
[32.00 --> 35.50]  En er is een opvallende rol in dit verhaal voor Google Foto's.
[35.68 --> 36.64]  Daar gaan we het straks over hebben.
[36.76 --> 40.12]  Er zijn problemen met het trainen van taalmodellen.
[40.50 --> 42.28]  Zo wordt deze week gemeld.
[42.74 --> 48.40]  Dat is namelijk omdat er in 2026 een tekort dreigt aan nieuwe informatie voor taalmodellen.
[48.60 --> 51.34]  Alle informatie die ze konden lezen is dan op.
[51.60 --> 56.36]  Waar gaan die bedrijven dan hun taalmodellen mee trainen om ze groter en beter te maken?
[56.48 --> 57.68]  Wij speculeren daarover.
[57.68 --> 61.14]  En we spreken Maurits Martijn, journalist bij De Correspondent.
[61.24 --> 64.76]  Die een aantal economen heeft gesproken om een hele belangrijke vraag te beantwoorden.
[64.88 --> 67.92]  Namelijk, raken we door AI onze baan kwijt?
[68.28 --> 70.38]  Spoiler alert, valt allemaal wel mee.
[70.60 --> 72.36]  Nou, dat is toch ook gezellig om je dag mee in te gaan.
[72.84 --> 74.70]  Deze week, Sonne Milou, die is op vakantie.
[74.78 --> 75.64]  Die is er volgende week weer.
[75.80 --> 76.88]  Veel plezier met Poki.
[77.54 --> 80.08]  Ik heb dus al meerdere dagen dat ik wakker ben geworden wietse.
[80.20 --> 83.46]  Met een liedje van Suno wat ik zelf gemaakt heb in mijn hoofd.
[83.46 --> 88.86]  En dat is toch wel echt, dat voelt toch wel als een soort van overwinning van de AI op ons als mensheid.
[89.24 --> 91.62]  Dat gewoon, dit zit meer in mijn hoofd dan Europapa.
[92.62 --> 94.58]  Ik dacht dat je, wow, dat is wel even een statement.
[94.66 --> 95.44]  I know, I know.
[96.12 --> 99.62]  Maar die, heb je al eigen happy hardcore Europapa-achtige songs gemaakt?
[99.62 --> 100.80]  Nee, nee, nee.
[100.80 --> 102.22]  Ik denk ook wel dat het zo is.
[102.52 --> 105.52]  Omdat het dan, ik heb het natuurlijk getuned op mijn muzieksmaak.
[105.60 --> 109.54]  Dus dan is de kans natuurlijk ook een stuk groter dat het een oorworm wordt voor mij.
[109.62 --> 110.78]  Maar dan nog, dan nog.
[110.92 --> 113.04]  Ik zit naar een AI oorworm te luisteren.
[113.28 --> 115.34]  Ja, want dat is dus het grappige.
[115.42 --> 118.40]  Want ik dacht dat jij ging zeggen dat je gewoon custom wekkers hebt ingesteld.
[118.50 --> 119.86]  Misschien wel met je dag erin alvast.
[119.92 --> 120.82]  Dat je weet wat je gaat doen.
[121.04 --> 121.28]  Weet je wel.
[122.28 --> 124.64]  Je hoeft een meier met wakker worden, wakker worden, wakker worden.
[124.80 --> 124.96]  Maar dan.
[125.40 --> 125.66]  Ja.
[126.66 --> 127.82]  Je hebt een hele volle agenda.
[127.82 --> 128.62]  Ja, precies.
[128.62 --> 130.86]  Maar ik vind het grappig.
[130.98 --> 132.88]  Want ik merk dus nu om me heen.
[133.10 --> 134.42]  En ook bij mezelf al een beetje.
[134.50 --> 136.54]  Want ik had Suno wel heel vaak geprobeerd vroeger.
[136.78 --> 138.30]  En jij ging helemaal los de vorige keer.
[138.40 --> 139.46]  Toen was ik alweer helemaal verbaasd.
[139.54 --> 141.62]  Want ik dacht, jeetje, het klinkt inderdaad wel heel goed nu.
[141.76 --> 142.30]  Versie 3.
[142.40 --> 143.62]  Dat is dan een beetje waar het om gaat.
[144.10 --> 146.14]  Maar dit leeft ook echt heel erg om me heen.
[146.24 --> 149.34]  Ik heb vrienden van mij die allemaal berichtjes sturen met zelfgemaakte nummertjes.
[149.62 --> 153.88]  En ik heb vorige week samen met mijn zus een hele avond te gieren op de bank om samen muziek te maken.
[153.94 --> 154.80]  Het is ook echt heel leuk.
[154.80 --> 159.14]  Ik bedoel, ik moet zeggen, het blijft best lang hangen hoe lang het leuk blijft ook.
[159.20 --> 160.02]  Dat valt me ook op.
[160.18 --> 163.94]  Ik had gedacht van, nou hè, dat is na een avondje wel weer weg.
[164.06 --> 167.08]  Maar ik kom nog steeds achter nieuwe features en trucjes.
[167.66 --> 169.42]  En ik vind het gewoon een grappig effect.
[169.54 --> 174.42]  Omdat ik merk dus nu om me heen dat er een aantal mensen zijn die best wel cynisch waren richting mij.
[174.54 --> 176.46]  Van joh, het valt toch allemaal wel mee.
[176.88 --> 178.50]  En Suno doet iets met mensen.
[178.94 --> 181.24]  Ze zijn echt van, hé, wacht even, maar dit is anders, man.
[181.24 --> 184.00]  Ja, dit is muziek, dat raakt de mensen in het hart.
[184.20 --> 185.42]  Dan willen ze eindelijk wel luisteren.
