Video title: Google en OpenAI kondigen nieuwe modellen aan — dit is de belangrijkste AI week van het jaar ｜ ✨ ...
Youtube video code: uSpTxPuIAXQ
Last modified time: 2024-12-12 20:12:50

------------------ 

[0.00 --> 1.16]  18 plus speelbewust.
[1.70 --> 4.00]  1 januari valt die gegarandeerd.
[4.30 --> 7.60]  De postcode kan je van 59,7 miljoen.
[7.94 --> 11.72]  Het kan overal in Nederland gebeuren, dus ook bij u in de straat.
[12.46 --> 14.58]  59,7 miljoen.
[14.94 --> 15.72]  Speel ook mee.
[16.76 --> 19.36]  Ga naar postcode loterij.nl
[19.36 --> 23.06]  Voor je gaat luisteren, heel even dit.
[23.60 --> 29.28]  In de nieuwe podcast Veldheren neem ik, Jos de Groot, jou iedere donderdag mee voorbij de frontlijn in Oekraïne.
[29.28 --> 33.38]  Dat doe ik samen met generaals buitendienst Peter van Um en Mart de Kuif.
[33.80 --> 35.20]  Zij hebben één duidelijk doel.
[35.42 --> 37.38]  Aan jou uitleggen hoe oorlog werkt.
[37.92 --> 39.94]  Volg Veldheren in jouw favoriete podcast app.
[44.32 --> 48.58]  Welkom bij Poki, de Nederlandse podcast over kunstmatige intelligentie.
[49.04 --> 53.46]  Waar we uitzoeken welke invloed jij gaat hebben op ons werk, ons leven en de samenleving.
[53.66 --> 55.22]  Tegenover mij zit Wietsehagen.
[55.22 --> 60.60]  En het was de grootste week met het meest AI nieuws van het jaar, kunnen we wel zeggen.
[61.30 --> 64.32]  We duiken erin en het is een ongelofelijke hoeveelheid aankondigingen.
[64.64 --> 68.18]  We beginnen met Google, die de tweede versie van Gemini aankondigde.
[68.32 --> 76.32]  Een zogenaamd Omni-model dat alles kan, inclusief je computer bedienen en je ogen, oren en stem zijn in de echte wereld.
[76.32 --> 81.30]  We zijn er een beetje van ondersteboven en vertellen je hoe je de nieuwe functionaliteiten vandaag al kan testen.
[81.92 --> 88.20]  En daarnaast brengt OpenAI nu iedere dag nieuws uit van de lang verwachte lancering van Sora, de videogenerator.
[88.74 --> 94.14]  En de niet-preview versie van O1, het grote reasoning model van OpenAI.
[94.34 --> 97.12]  Brengt het bedrijf ook allerlei nieuwe features in Chatsypte uit.
[97.26 --> 98.88]  We bevatten al het nieuws voor je samen.
[99.84 --> 102.24]  Dat en veel meer vandaag in Poki.
[102.74 --> 103.16]  Veel plezier.
[103.16 --> 118.70]  Oké, ik heb me door deze intro toch wel een beetje heen geworsteld.
[118.94 --> 124.84]  Want ik moet je zeggen, ik ervaar wel stress over deze aflevering die we nu gaan maken.
[124.98 --> 127.44]  Ja, ik ontmoette een gestresste Alexander vanochtend.
[127.44 --> 133.74]  Want ik heb echt vier uur zitten lezen om gewoon een baseline idee te krijgen van wat er de afgelopen weken is gebeurd.
[133.84 --> 134.68]  Het is insane.
[134.82 --> 137.94]  Wat er bij Google is gebeurd, alleen al bij Google en bij OpenAI.
[139.00 --> 141.24]  Ja, we kunnen daar gewoon de hele middag over doorpraten.
[142.24 --> 146.48]  Maar dat ik echt denk, hoe doen de meeste mensen dit?
[146.60 --> 148.18]  Dit is niet bij te houden voor mensen.
[148.30 --> 152.06]  Ik bedoel, ik snap dat wij dit doen en dan aan de mensen praten in de podcast.
[152.06 --> 153.62]  Maar hoe...
[153.62 --> 158.80]  Ik denk dat de meeste mensen die nu hier buiten op straat lopen, gewoon helemaal geen idee hebben van wat er allemaal gebeurd is.
[159.44 --> 161.02]  In de afgelopen week.
[161.24 --> 161.38]  Ja.
[161.82 --> 167.72]  En je moet ook nog een beetje door al die headlines heen kunnen scrollen om de impact ervan in te kunnen schatten.
[167.82 --> 168.72]  Of de relevantie ervan.
[169.18 --> 173.60]  Sommige dingen zijn een soort van, ja oké, Apple Intelligence is nu daadwerkelijk beschikbaar.
[173.60 --> 178.86]  En dan, oh ja, je kunt nu ook, het is een hele goede voice doen als notebook-alem, als ontwikkelaar.
[179.58 --> 181.42]  Dus dat is best wel, die staan in dezelfde rij.
[181.60 --> 182.36]  Dus dat kooien dan langs.
[182.46 --> 183.40]  Ja, ja, ja.
[183.48 --> 184.42]  Dat hebben wij wel gedaan.
[185.32 --> 187.02]  Ja, nou goed, we hebben alles gelezen.
[187.16 --> 189.82]  In ieder geval voor zover dat kon.
